Apr.2017.21,Perimeter-Area-Volume,April.2017,21,"21. Laura plans to paint the 8-foot-high rectangular walls of her room, and before she buys paint she needs to know the area of the wall surface to be painted. Two walls are 10 feet wide, and the other 2 walls are 15 feet wide. The combined area of the 1 window and the 1 door in her room is 60 square feet. What is the area, in square feet, of the wall surface Laura plans to paint?",200,340,360,390,400
Apr.2017.22,Perimeter-Area-Volume,April.2017,22,"22. The length of a rectangle is 5 inches longer than the width. The perimeter of the rectangle is 40 inches. What is the width of the rectangle, in inches?",7.5,8,15,16,17.5
Apr.2017.32,Perimeter-Area-Volume,April.2017,32,"32. Mikea, an intern with the Parks and Recreation Department, is developing a proposal for the new trapezoidal Springdale Park. The figure below shows her scale drawing of the proposed park with 3 side lengths and the radius of the merry-go-round given in inches. In Mikea’s sale drawing, 1 inch represents 1.5 feet. What is the area, in square inches, of the scale drawing of the park?",448,544,640,672,"1,088"
Apr.2017.33,Perimeter-Area-Volume,April.2017,33,"33. Mikea, an intern with the Parks and Recreation Department, is developing a proposal for the new trapezoidal Springdale Park. The figure below shows her scale drawing of the proposed park with 3 side lengths and the radius of the merry-go-round given in inches. In Mikea’s sale drawing, 1 inch represents 1.5 feet. Mikea’s proposal includes installing a fence on the perimeter of the park. What is the perimeter, in feet, of the park?",84,88,104,126,156
Apr.2017.35,Perimeter-Area-Volume,April.2017,35,"35. The Smith family is planning to build a 3-room cabin which consists of 2 bedrooms (BR) and 1 living room (LR). Shown below are the rectangular floor plan (left-figure) and a side view of the cabin (right-figure). In the side view, the roof forms an isosceles triangle (triangleABC), the walls are perpendicular to the level floor (line)ED, (line)AC parallel (line)ED, F is the midpoint of (line) AC, and (line)BF perpendicular (line)AC. During the week the Smiths plan to roof the cabin, there is a 20% chance of rain each day. Mr. Smith plans to build a 3-foot-wide walkway around the outside of the cabin, as shown in the floor plan. What will be the area, in square feet, of the top surface of the walkway?",171,324,360,396,720
Apr.2017.45,Perimeter-Area-Volume,April.2017,45,"45. Toby wants to find the volume of a solid toy soldier. He fills a rectangular container 8 cm long, 6 cm wide, and 10 cm high with water to a depth of 4 cm. Toby totally submerged the toy soldier in the water. The height of the water with the submerged toy soldier is 6.6 cm. Which of the following is closest to the volume, in cubic centimeters, of the toy soldier?",125,156,192,208,317
Apr.2017.46,Perimeter-Area-Volume,April.2017,46,46. A box in the shape of a cube has an interior side length of 18 inches and is used to ship a right circular cylinder with a radius of 6 inches and a height of 12 inches. The interior of the box not occupied by the cylinder is filled with packing material. Which of the following numerical expressions gives the number of cubic inches of the box filled with packing material?,6(18)2 - 2π(6)(12) - 2π(6)2,6(18)2 - 2π(6)(12),183 - π(6)(12)2,183 - π(6)2(12),183 - π(12)3
Apr.2017.47,Perimeter-Area-Volume,April.2017,47,47. A room has a rectangular floor that is 15 feet by 21 feet. What is the area of the floor in square yards?,A. 24,B. 35,C. 36,D. 105,E. 144
Apr.2017.49,Perimeter-Area-Volume,April.2017,49,"49. The graph of a function y = f(x) consists of 3 line segments. The graph and the coordinates of the endpoints of the 3 line segments are shown in the standard (x,y) coordinate plane below. What is the area, in square coordinate units, of the region bounded by the graph of y = f(x), the positive y-axis, and the positive x-axis?",10,13,14,15,20
Jun.2017.1,Perimeter-Area-Volume,June.2017,1,"1. The top surface of a rectangular table has an area of 100 square feet and a width of 5 feet. What is the length, in feet, of the surface?",10,15,20,95,500
