Apr.2015.6,Triangles,April.2015,6,"6. The lengths of the legs of a right triangle are 4 miles and 5 miles, respectively. Which of the following lengths, in miles, is closest to that of the hypotenuse of the right triangle?",3.0,4.5,6.4,8.0,8.7
Apr.2015.18,Triangles,April.2015,18,"18. In the figure below, (line)AE and (line)BD intersect at C, and (line)AB || (line)DE. Which of the following angles must have the same measure as (angle)BAC?",(angle)ACB,(angle)ACD,(angle)BCE,(angle)CDE,(angle)CED
Apr.2015.38,Triangles,April.2015,38,"38. Shown in the standard (x,y) coordinate plane below is equilateral triangle (triangle)AOC with coordinates A(a,b), C(4c,0), and O(0,0). In terms of c, what is a? ",F. c,G. 2c,H. 3c,J. 4c,K. 6c
Apr.2015.43,Triangles,April.2015,43,"43. The circle below has a diameter of 8 centimeters. Which of the following is closest to the area, in square centimeters, of the square inscribed in the circle?",25,32,50,64,201
Jun.2015.4,Triangles,June.2015,4,"4. In the figure below, (triangle)QRS is equilateral, side (line)QR is bisected by T, and side (line)QS is bisected by U. What is the degree measure of (angle)TUS?",60°,90°,120°,135°,150°
Jun.2015.16,Triangles,June.2015,16,"16. In the figure below, vertices D and F of (triangle)DEF lie on (line)CG, the measure of (angle)CDE is 148°, and the measure of (angle)EFG is 140°. What is the measure of (angle)DEF?",72°,98°,100°,108°,116°
Jun.2015.22,Triangles,June.2015,22,"22. In the figure shown below (line)AE || (line)DC, (line)AC, and (line)DE intersect at B, and the given length are in feet. What is the length, in feet, of (line)BC?",6,8,9,10,11
Dec.2015.32,Triangles,December.2015,32,"32. In isosceles triangle (triangle)PQR shown below, (line)PQ ≅ (line)QR and the measure of (angle)P is 54°. If it can be determined, what is the measure of (angle)Q?",36°,54°,72°,81°,Cannot be determined from the given information
Dec.2015.37,Triangles,December.2015,37,"37. The midpoint of the sides of rectangle WXYZ are the vertices of rhombus ABCD.. The dimensions of the rectangle WXYZ are 6cm by 8cm. What is the perimeter, in centimeters, of rhombus ABCD?",20,25,28,40,48
Dec.2015.58,Triangles,December.2015,58,"58. As shown below, (line)BE divides rectangle ACDF into 2 congruent trapezoids. The measure of (angle)BED is 45°. The lengths of (line)BC, (line)CD, and (line)EF are given in feet. What is the area, in the square feet, of rectangle ACDF?",10,14,60,72,84
Jun.2016.6,Triangles,June.2016,6,"6. In the figure below, C lies on both (line) and (line)BD, (line) AB and (line)DE are parallel and congruent, and 2 angle measures are given. What is the measure of (angle)ACB?",55°,57.5°,65°,67.5°,70°
Jun.2016.30,Triangles,June.2016,30,30) The dimensions of equilateral triangle (triangle)ABC are given in centimeters in the figure below. What is the value of y?,2,5,8,13,16
Jun.2016.46,Triangles,June.2016,46,"46. Lindsay is designing a 5-foot-by-8-foot rectangular poster for her art class. She will cover both diagonals of the poster with straight lengths of yellow rope. Which of the following values is closest to the total length, in feet, of the 2 yellow ropes Lindsay will need for the poster?",19,20,23,26,40
Apr.2016.10,Triangles,April.2016,10,"10. The figure below shown lines (arrows <->)AB and (arrows <->)DC, line segments (line)AC and (line)BC, and 2 angle measures. What is the measure of (angle)ACB?",38 1/2°,42°,48°,55°,77°
Apr.2016.54,Triangles,April.2016,54,"54. Which of the following lists of numbers could be the side lengths, in inches, of a triangle?","1, 2, 3","2, 5, 7","3, 7, 11","4, 9, 16","5, 8, 10"
Dec.2016.2,Triangles,December.2016,2,2. The statement (triangle)ABC ≅ (triangle) DEF is true. Which of the following statements must be true?,(line)AB ≅ (line)DF,(line)AC ≅ (line)EF,(line)BC ≅ (line) DF,(angle)A ≅ (angle)F,(angle)C ≅ (angle) F
Dec.2016.3,Triangles,December.2016,3,"3. In the figure below, C lies on (line)AD, the measure of (angle)BAC is 65°, the measure of (angle)BCD is 100°, and the measure of (angle)ABC is x°. What is the value of x?",15,25,35,65,80
Dec.2016.16,Triangles,December.2016,16,"16. In (triangle)ABC shown below, the measure of (angle)A is 48°, and (line)AB ≅ (line)AC. What is the measure of (angle)C?",42°,48°,52°,66°,72°
Dec.2016.33,Triangles,December.2016,33,"33. When it was constructed 4,500 years ago, the Great Pyramid in Egypt had a height of 147 meters and contained roughly 2.3 million stone blocks. It is estimated that 5.5 million tons of limestone, 8,000 tons of granite, and 500,000 tons of mortar were used in its construction. In the side view shown below, an ancient observer found the angle of elevation at D to the top of the pyramid to be 39°. The diagonals of the pyramid’s square base, shown below, intersect at C. The perimeter of the pyramid’s base was 920 meters when construction was completed. At that time, which of the following values is closest to the length, in meters, of each diagonal of the base?",30,40,230,320,650
