id,topic,date,qNum,qStatement,a1,a2,a3,a4,a5,ans,Year,Month,Monthind,,,,,,,,,,,,,,,
Apr.2015.01,Absolute Values,April.2015,1,1. |3(-2) + 4| = ?,2,5,9,10,,B,2015,Apr,4,,Apr.2022.E25.01,Probability-Combinations-Permutations,April.2022.E25,1,,,,,,,A,2022,Apr,4
Apr.2016.01,Absolute Values,April.2016,1,1. What is |5 - x| when x=9?,-4,4,9,14,,C,2016,Apr,4,,Apr.2022.E25.02,Solving Algebra,April.2022.E25,2,,,,,,,G,2022,Apr,4
Apr.2017.01,Ratios-Proportions,April.2017,1,1. Marcus’s favorite casserole recipe requires 3 eggs and makes 6 servings. Marcus will modify the recipe by using 5 eggs and increasing all other ingredients in the recipe proportionally. What is the total number of servings the modified recipe will make?,b. 8,c. 10,d. 12,e. 15,,C,2017,Apr,4,,Apr.2022.E25.03,Exponents-Radicals,April.2022.E25,3,,,,,,,D,2022,Apr,4
Apr.2018.01,Lines,April.2018,1,,,,,,,A,2018,Apr,4,,Apr.2022.E25.04,Data Interpretation,April.2022.E25,4,,,,,,,H,2022,Apr,4
Apr.2019.B04.01,Solving Algebra,April.2019.B04,1,,,,,,,E,,,,,Apr.2022.E25.05,Ratios-Proportions,April.2022.E25,5,,,,,,,D,2022,Apr,4
Apr.2019.Z15.01,Plug in Numbers (Calc),April.2019.Z15,1,,,,,,,A,2019,Apr,4,,Apr.2022.E25.06,Plug in Numbers (Calc),April.2022.E25,6,,,,,,,K,2022,Apr,4
Apr.2021.D05.01,Sequences,April.2021.D05,1,,,,,,,D,2021,Apr,4,,Apr.2022.E25.07,Mean-Median-Mode,April.2022.E25,7,,,,,,,D,2022,Apr,4
Apr.2021.Z04.01,Probability-Combinations-Permutations,April.2021.Z04,1,,,,,,,E,2021,Apr,4,,Apr.2022.E25.08,Coordinate Geometry,April.2022.E25,8,,,,,,,H,2022,Apr,4
Dec.2015.01,Ratios-Proportions,December.2015,1,"1. A cookie recipe that yields 24 cookies requires 1¾ cups of butter. When the ingredients in this recipe are increased proportionally, how many cups of butter are required for the recipe to yield 72 cookies?",B. 3,C. 3 ½,D. 5 ¼,E. 10 ½,,D,2015,Dec,12,,Apr.2022.E25.09,Absolute Values,April.2022.E25,9,,,,,,,B,2022,Apr,4
Dec.2016.01,Probability-Combinations-Permutations,December.2016,1,"1. The 32-member French Club is meeting to choose a student government representative. The members decide that the representative, who will be chosen at random, CANNOT be any of the 5 officers of the club. What is the probability that Luis, who is a member of the club but NOT an officer, will be chosen?",B. 1/32,C. 1/27,D. 6/32,E. 1/5,,C,2016,Dec,12,,Apr.2022.E25.10,Perimeter-Area-Volume,April.2022.E25,10,,,,,,,F,2022,Apr,4
Dec.2017.01,Probability-Combinations-Permutations,December.2017,1,,,,,,,B,2017,Dec,12,,Apr.2022.E25.11,Exponents-Radicals,April.2022.E25,11,,,,,,,B,2022,Apr,4
Dec.2018.01,Data Interpretation,December.2018,1,,,,,,,D,2018,Dec,12,,Apr.2022.E25.12,Geometry Rules,April.2022.E25,12,,,,,,,H,2022,Apr,4
Dec.2019.01,Plug in Numbers (Calc),December.2019,1,,,,,,,C,2019,Dec,12,,Apr.2022.E25.13,System of Equations,April.2022.E25,13,,,,,,,D,2022,Apr,4
Dec.2021.01,Exponents-Radicals,December.2021,1,,,,,,,A,2021,Dec,12,,Apr.2022.E25.14,Sequences,April.2022.E25,14,,,,,,,J,2022,Apr,4
Dec.2022.01,Word Problems,December.2022,1,,,,,,,C,2022,Dec,12,,Apr.2022.E25.15,Plug in Numbers (Calc),April.2022.E25,15,,,,,,,D,2022,Apr,4
