id,category,test_date,statement,choice_a,choice_b,choice_c,choice_d
1,Circles,April_2015_1,"The circle in the standard (x,y) coordinate plane below has center (-8.5, 7.5) and has radius 5 coordinate units.","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
2,Circles,April_2015_2,"The circle in the standard (x,y) coordinate plane below has center (-8.5, 7.5) and has radius 5 coordinate units.","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
3,Circles,April_2015_3,"Points O(0,0) and B(0,3) below lie in the standard (x,y) coordinate plane. The collection of all points such that each is twice as far from B as from O forms a circle. The point (rad3, 0) is 1 point on the circle. What are the coordinates of the center of that circle?","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
4,Circles,June_2015_4,"The circle shown below has below has diameter (line)AD, and points B and C lie on the circle. The measure of (angle)CAD is 30°, and the measure of minor arc (arc)CD is 60°. What is the measure of minor arc (arc)AC? ","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
5,Circles,June_2015_5,"Graphed in the same standard (x,y) coordinate plane are a circle and a parabola. The circle has radius 3 and center (0, 0). The parabola has vertex (-3, -2), has a vertical axis of symmetry, and passes through (-2, -1). The circle and the parabola intersect at how many points?","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
6,Circles,June_2015_6,"In the figure shown below, ABCD is a rectangle, EFGH is a square, and (line)CD is the diameter of a semicircle. Points K is the midpoint of (line)CD. Point J is the midpoint of both (line)AB and (line)EF. Points E and F lie on (line)AB. The 3 given lengths are in meters. ","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
7,Circles,June_2015_7,"In the circle with center D shown below, the length of radius (line)CD is 4 cm, the length of (line)BC is 1 cm, and (line)BC is perpendicular to radius (line)AD at B. When (Angle)ADC is measured in degrees, which of the following expressions represents the length, in centimeters of (arc)AC?","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
8,Circles,December_2015_8,"The circular spinner dial for a new board game is divided into 6 congruent sectors. What is the arc measure, in degrees, of each sector?","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
9,Circles,December_2015_9,"The diameter of a circle is 6 feet. What is the area, in square feet, of the circle?","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
10,Circles,December_2015_10,"In standard (x,y) coordinate plane below, a circle has a radius of r coordinate units and passes through the origin, O. The circle has diameter (line)OS, where S lies on the negative y-axis. In terms of r, what are the coordinates of S?","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
11,Circles,June_2016_11,"The circumference of a circle is 20cm. What is the length, in centimeters, of the radius of the circle?","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
12,Circles,December_2016_12,"A circle with radius 10 cm is divided into 3 congruent arcs. What is the length, in centimeters, of each of the 3 arcs?","Lorem ipsum dolor sit amet, ei eum inani adolescens temporibus, omnesque voluptatibus mediocritatem nec te. ","At meis brute nam, odio quas natum eu vel. Mediocrem partiendo id cum, epicuri blandit ut eum. ","Summo adolescens eum et, vel cu homero labore. Pri reprehendunt signiferumque an. In sea case perpetua.","Diceret debitis suavitate id pro, nostrud gloriatur mel at. "
